Ref,Trait Name,T,trait,ErrorPosSI,ErrorNegSI,Trait2.name,Trait,host.code,paras.code,Citation,Figure,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,18,0.248249523,,,,,Aaeg,,Beserra_2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,22,4.318681319,,,,,Aaeg,,Beserra_2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,26,2.205229403,,,,,Aaeg,,Beserra_2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,28,3.922574627,,,,,Aaeg,,Beserra_2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,32,0.799522673,,,,,Aaeg,,Beserra_2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,34,0.279605263,,,,,Aaeg,,Beserra_2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,18,3.074547861,,,,,Aaeg,,Beserra_2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,22,0.598221504,,,,,Aaeg,,Beserra_2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,26,5.596976017,,,,,Aaeg,,Beserra_2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,28,17.40608229,,,,,Aaeg,,Beserra_2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,32,2.254901961,,,,,Aaeg,,Beserra_2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,34,0.164835165,,,,,Aaeg,,Beserra_2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,10.57413184,0.033741077,,,,,Aaeg,,Yang_et_al_2008_EpidInfect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,10.81052189,0.067996215,,,,,Aaeg,,Yang_et_al_2008_EpidInfect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,15.30290639,0.373021158,,,,,Aaeg,,Yang_et_al_2008_EpidInfect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,16.55096406,1.06293739,,,,,Aaeg,,Yang_et_al_2008_EpidInfect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,20.0580655,3.340506817,,,,,Aaeg,,Yang_et_al_2008_EpidInfect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,21.84793149,3.58010585,,,,,Aaeg,,Yang_et_al_2008_EpidInfect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,25.58830746,6.998562967,,,,,Aaeg,,Yang_et_al_2008_EpidInfect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,27.61388198,7.514493008,,,,,Aaeg,,Yang_et_al_2008_EpidInfect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,31.6687307,7.232226934,,,,,Aaeg,,Yang_et_al_2008_EpidInfect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,33.42559166,7.195214562,,,,,Aaeg,,Yang_et_al_2008_EpidInfect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,31.32446579,9.5151239,,,,,Aaeg,,Yang_et_al_2008_EpidInfect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,32.5359161,11.20797261,,,,,Aaeg,,Yang_et_al_2008_EpidInfect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,25,54.47058824,,,,,Aalb,,Yee_et al_2016 JAE_in_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,25,79.75,,,,,Aalb,,Yee_et al_2016 JAE_in_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,25,43.0625,,,,,Aalb,,Yee_et al_2016 JAE_in_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,25,55.09091,,,,,Aalb,,Yee_et al_2016 JAE_in_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,20,77.8,,,,,Aalb,,Ezeakacha_Dissertation_2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,20,73.9,,,,,Aalb,,Ezeakacha_Dissertation_2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,27,58.2,,,,,Aalb,,Ezeakacha_Dissertation_2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,27,30.4,,,,,Aalb,,Ezeakacha_Dissertation_2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,34,35.7,,,,,Aalb,,Ezeakacha_Dissertation_2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,34,7.2,,,,,Aalb,,Ezeakacha_Dissertation_2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,20,1.3,,,,,Aalb,,Calado_Navarro-Silva_2002_RevistaBrasileraDeEntomologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,25,4.2,,,,,Aalb,,Calado_Navarro-Silva_2002_RevistaBrasileraDeEntomologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,EFD,30,3.73,,,,,Aalb,,Calado_Navarro-Silva_2002_RevistaBrasileraDeEntomologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,15,20,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,20,42.63636364,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,20,51.8,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,20,80,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,20,77,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,25,68.61538462,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,25,70.85714286,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,25,74.30769231,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,25,53.66666667,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,25,39.66666667,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,25,101.5,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,25,35,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,25,18,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,30,77.19047619,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,30,98.68421053,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,30,60.3125,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,30,67.90909091,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,30,67.66666667,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,30,41.75,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,30,14.5,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,35,47.93333333,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MordecaiPub,TFD,35,51.5,,,,,Aalb,,Delatte_etal_2009_JMedEnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
